,NO2
2021-03-25,4.193623853229704
2021-03-26,8.968032923032853
2021-03-27,6.804580414442209
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,4.553938950041647
2021-03-31,0.0
2021-04-01,3.909229100167856
2021-04-02,3.7858501913218316
2021-04-03,9.090961091248912
2021-04-04,10.711240340481112
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,2.3639660748662177
2021-04-08,3.4649496149537757
2021-04-09,3.029187552162061
2021-04-10,3.4645248106084345
2021-04-11,0.0
2021-04-12,4.869381261603189
2021-04-13,7.2988927409226445
